policy_name,category,legacy_path,cel_path,status,parity_notes,owner,tracking_link
application-field-validation,argo,sources/policies/argo/application-field-validation,sources/policies/argo-cel/application-field-validation,Both,,Azeez,
application-prevent-default-project,argo,sources/policies/argo/application-prevent-default-project,sources/policies/argo-cel/application-prevent-default-project,Both,,Azeez,
application-prevent-updates-project,argo,sources/policies/argo/application-prevent-updates-project,sources/policies/argo-cel/application-prevent-updates-project,Both,,Azeez,
applicationset-name-matches-project,argo,sources/policies/argo/applicationset-name-matches-project,sources/policies/argo-cel/applicationset-name-matches-project,Both,,Azeez,
appproject-clusterresourceblacklist,argo,sources/policies/argo/appproject-clusterresourceblacklist,sources/policies/argo-cel/appproject-clusterresourceblacklist,Both,,Azeez,
argo-cluster-generation-from-rancher-capi,argo,sources/policies/argo/argo-cluster-generation-from-rancher-capi, ,Legacy only,,Azeez,
require-encryption-aws-loadbalancers,aws,sources/policies/aws/require-encryption-aws-loadbalancers,sources/policies/aws-cel/require-encryption-aws-loadbalancers,Both,,Azeez,
require-aws-node-irsa,aws,sources/policies/aws/require-aws-node-irsa, ,Legacy only,,Azeez,
check-deprecated-apis,best-practices,sources/policies/best-practices/check-deprecated-apis,sources/policies/best-practices-cel/check-deprecated-apis,Both,,Azeez,
disallow-cri-sock-mount,best-practices,sources/policies/best-practices/disallow-cri-sock-mount,sources/policies/best-practices-cel/disallow-cri-sock-mount,Both,,Azeez,
disallow-default-namespace,best-practices,sources/policies/best-practices/disallow-default-namespace,sources/policies/best-practices-cel/disallow-default-namespace,Both,,Azeez,
disallow-empty-ingress-host,best-practices,sources/policies/best-practices/disallow-empty-ingress-host,sources/policies/best-practices-cel/disallow-empty-ingress-host,Both,,Azeez,
disallow-helm-tiller,best-practices,sources/policies/best-practices/disallow-helm-tiller,sources/policies/best-practices-cel/disallow-helm-tiller,Both,,Azeez,
disallow-latest-tag,best-practices,sources/policies/best-practices/disallow-latest-tag,sources/policies/best-practices-cel/disallow-latest-tag,Both,,Azeez,
require-drop-all,best-practices,sources/policies/best-practices/require-drop-all,sources/policies/best-practices-cel/require-drop-all,Both,,Azeez,
require-drop-cap-net-raw,best-practices,sources/policies/best-practices/require-drop-cap-net-raw,sources/policies/best-practices-cel/require-drop-cap-net-raw,Both,,Azeez,
require-labels,best-practices,sources/policies/best-practices/require-labels,sources/policies/best-practices-cel/require-labels,Both,,Azeez,
require-pod-requests-limits,best-practices,sources/policies/best-practices/require-pod-requests-limits,sources/policies/best-practices-cel/require-pod-requests-limits,Both,,Azeez,
require-probes,best-practices,sources/policies/best-practices/require-probes,sources/policies/best-practices-cel/require-probes,Both,,Azeez,
require-ro-rootfs,best-practices,sources/policies/best-practices/require-ro-rootfs,sources/policies/best-practices-cel/require-ro-rootfs,Both,,Azeez,
restrict-image-registries,best-practices,sources/policies/best-practices/restrict-image-registries,sources/policies/best-practices-cel/restrict-image-registries,Both,,Azeez,
restrict-node-port,best-practices,sources/policies/best-practices/restrict-node-port,sources/policies/best-practices-cel/restrict-node-port,Both,,Azeez,
restrict-service-external-ips,best-practices,sources/policies/best-practices/restrict-service-external-ips,sources/policies/best-practices-cel/restrict-service-external-ips,Both,,Azeez,
add-network-policy,best-practices,sources/policies/best-practices/add-network-policy, ,Legacy only,,Azeez,
add-networkpolicy-dns,best-practices,sources/policies/best-practices/add-networkpolicy-dns, ,Legacy only,,Azeez,
add-ns-quota,best-practices,sources/policies/best-practices/add-ns-quota, ,Legacy only,,Azeez,
add-rolebinding,best-practices,sources/policies/best-practices/add-rolebinding, ,Legacy only,,Azeez,
add-safe-to-evict,best-practices,sources/policies/best-practices/add-safe-to-evict, ,Legacy only,,Azeez,
enforce-min-tls-version,consul,sources/policies/consul/enforce-min-tls-version,sources/policies/consul-cel/enforce-min-tls-version,Both,,Azeez,
verify-flux-sources,flux,sources/policies/flux/verify-flux-sources,sources/policies/flux-cel/verify-flux-sources,Both,,Azeez,
verify-git-repositories,flux,sources/policies/flux/verify-git-repositories,sources/policies/flux-cel/verify-git-repositories,Both,,Azeez,
generate-flux-multi-tenant-resources,flux,sources/policies/flux/generate-flux-multi-tenant-resources, ,Legacy only,,Azeez,
verify-flux-images,flux,sources/policies/flux/verify-flux-images, ,Legacy only,,Azeez,
enforce-sidecar-injection-namespace,istio,sources/policies/istio/enforce-sidecar-injection-namespace,sources/policies/istio-cel/enforce-sidecar-injection-namespace,Both,,Azeez,
enforce-strict-mtls,istio,sources/policies/istio/enforce-strict-mtls,sources/policies/istio-cel/enforce-strict-mtls,Both,,Azeez,
prevent-disabling-injection-pods,istio,sources/policies/istio/prevent-disabling-injection-pods,sources/policies/istio-cel/prevent-disabling-injection-pods,Both,,Azeez,
add-ambient-mode-namespace,istio,sources/policies/istio/add-ambient-mode-namespace, ,Legacy only,,Azeez,
add-sidecar-injection-namespace,istio,sources/policies/istio/add-sidecar-injection-namespace, ,Legacy only,,Azeez,
create-authorizationpolicy,istio,sources/policies/istio/create-authorizationpolicy, ,Legacy only,,Azeez,
enforce-ambient-mode-namespace,istio,sources/policies/istio/enforce-ambient-mode-namespace, ,Legacy only,,Azeez,
enforce-tls-hosts-host-subnets,istio,sources/policies/istio/enforce-tls-hosts-host-subnets, ,Legacy only,,Azeez,
require-authorizationpolicy,istio,sources/policies/istio/require-authorizationpolicy, ,Legacy only,,Azeez,
restrict-virtual-service-wildcard,istio,sources/policies/istio/restrict-virtual-service-wildcard, ,Legacy only,,Azeez,
service-mesh-disallow-capabilities,istio,sources/policies/istio/service-mesh-disallow-capabilities, ,Legacy only,,Azeez,
service-mesh-require-run-as-nonroot,istio,sources/policies/istio/service-mesh-require-run-as-nonroot, ,Legacy only,,Azeez,
kasten-3-2-1-backup,kasten,sources/policies/kasten/kasten-3-2-1-backup, ,Legacy only,,Azeez,
kasten-data-protection-by-label,kasten,sources/policies/kasten/kasten-data-protection-by-label, ,Legacy only,,Azeez,
kasten-generate-example-backup-policy,kasten,sources/policies/kasten/kasten-generate-example-backup-policy, ,Legacy only,,Azeez,
kasten-generate-policy-by-preset-label,kasten,sources/policies/kasten/kasten-generate-policy-by-preset-label, ,Legacy only,,Azeez,
kasten-hourly-rpo,kasten,sources/policies/kasten/kasten-hourly-rpo, ,Legacy only,,Azeez,
kasten-immutable-location-profile,kasten,sources/policies/kasten/kasten-immutable-location-profile, ,Legacy only,,Azeez,
kasten-minimum-retention,kasten,sources/policies/kasten/kasten-minimum-retention, ,Legacy only,,Azeez,
kasten-validate-ns-by-preset-label,kasten,sources/policies/kasten/kasten-validate-ns-by-preset-label, ,Legacy only,,Azeez,
k10-data-protection-by-label,kasten, ,sources/policies/kasten-cel/k10-data-protection-by-label,CEL only,,Azeez,
k10-hourly-rpo,kasten, ,sources/policies/kasten-cel/k10-hourly-rpo,CEL only,,Azeez,
k10-validate-ns-by-preset-label,kasten, ,sources/policies/kasten-cel/k10-validate-ns-by-preset-label,CEL only,,Azeez,
require-kubecost-labels,kubecost,sources/policies/kubecost/require-kubecost-labels,sources/policies/kubecost-cel/require-kubecost-labels,Both,,Azeez,
enable-kubecost-continuous-rightsizing,kubecost,sources/policies/kubecost/enable-kubecost-continuous-rightsizing, ,Legacy only,,Azeez,
kubecost-proactive-cost-control,kubecost,sources/policies/kubecost/kubecost-proactive-cost-control, ,Legacy only,,Azeez,
prevent-linkerd-pod-injection-override,linkerd,sources/policies/linkerd/prevent-linkerd-pod-injection-override,sources/policies/linkerd-cel/prevent-linkerd-pod-injection-override,Both,,Azeez,
prevent-linkerd-port-skipping,linkerd,sources/policies/linkerd/prevent-linkerd-port-skipping,sources/policies/linkerd-cel/prevent-linkerd-port-skipping,Both,,Azeez,
require-linkerd-mesh-injection,linkerd,sources/policies/linkerd/require-linkerd-mesh-injection,sources/policies/linkerd-cel/require-linkerd-mesh-injection,Both,,Azeez,
add-linkerd-mesh-injection,linkerd,sources/policies/linkerd/add-linkerd-mesh-injection, ,Legacy only,,Azeez,
add-linkerd-policy-annotation,linkerd,sources/policies/linkerd/add-linkerd-policy-annotation, ,Legacy only,,Azeez,
check-linkerd-authorizationpolicy,linkerd,sources/policies/linkerd/check-linkerd-authorizationpolicy, ,Legacy only,,Azeez,
require-linkerd-server,linkerd,sources/policies/linkerd/require-linkerd-server, ,Legacy only,,Azeez,
disallow-ingress-nginx-custom-snippets,nginx-ingress,sources/policies/nginx-ingress/disallow-ingress-nginx-custom-snippets,sources/policies/nginx-ingress-cel/disallow-ingress-nginx-custom-snippets,Both,,Azeez,
restrict-annotations,nginx-ingress,sources/policies/nginx-ingress/restrict-annotations,sources/policies/nginx-ingress-cel/restrict-annotations,Both,,Azeez,
restrict-ingress-paths,nginx-ingress,sources/policies/nginx-ingress/restrict-ingress-paths,sources/policies/nginx-ingress-cel/restrict-ingress-paths,Both,,Azeez,
check-routes,openshift,sources/policies/openshift/check-routes,sources/policies/openshift-cel/check-routes,Both,,Azeez,
disallow-deprecated-apis,openshift,sources/policies/openshift/disallow-deprecated-apis,sources/policies/openshift-cel/disallow-deprecated-apis,Both,,Azeez,
disallow-jenkins-pipeline-strategy,openshift,sources/policies/openshift/disallow-jenkins-pipeline-strategy,sources/policies/openshift-cel/disallow-jenkins-pipeline-strategy,Both,,Azeez,
disallow-security-context-constraint-anyuid,openshift,sources/policies/openshift/disallow-security-context-constraint-anyuid,sources/policies/openshift-cel/disallow-security-context-constraint-anyuid,Both,,Azeez,
enforce-etcd-encryption,openshift,sources/policies/openshift/enforce-etcd-encryption,sources/policies/openshift-cel/enforce-etcd-encryption,Both,,Azeez,
disallow-self-provisioner-binding,openshift,sources/policies/openshift/disallow-self-provisioner-binding, ,Legacy only,,Azeez,
inject-infrastructurename,openshift,sources/policies/openshift/inject-infrastructurename, ,Legacy only,,Azeez,
team-validate-ns-name,openshift,sources/policies/openshift/team-validate-ns-name, ,Legacy only,,Azeez,
unique-routes,openshift,sources/policies/openshift/unique-routes, ,Legacy only,,Azeez,
advanced-restrict-image-registries,other,sources/policies/other/advanced-restrict-image-registries,sources/policies/other-cel/advanced-restrict-image-registries,Both,,Azeez,
allowed-annotations,other,sources/policies/other/allowed-annotations,sources/policies/other-cel/allowed-annotations,Both,,Azeez,
allowed-pod-priorities,other,sources/policies/other/allowed-pod-priorities,sources/policies/other-cel/allowed-pod-priorities,Both,,Azeez,
block-ephemeral-containers,other,sources/policies/other/block-ephemeral-containers,sources/policies/other-cel/block-ephemeral-containers,Both,,Azeez,
check-env-vars,other,sources/policies/other/check-env-vars,sources/policies/other-cel/check-env-vars,Both,,Azeez,
check-node-for-cve-2022-0185,other,sources/policies/other/check-node-for-cve-2022-0185,sources/policies/other-cel/check-node-for-cve-2022-0185,Both,,Azeez,
check-serviceaccount-secrets,other,sources/policies/other/check-serviceaccount-secrets,sources/policies/other-cel/check-serviceaccount-secrets,Both,,Azeez,
deny-commands-in-exec-probe,other,sources/policies/other/deny-commands-in-exec-probe,sources/policies/other-cel/deny-commands-in-exec-probe,Both,,Azeez,
deny-secret-service-account-token-type,other,sources/policies/other/deny-secret-service-account-token-type,sources/policies/other-cel/deny-secret-service-account-token-type,Both,,Azeez,
disallow-all-secrets,other,sources/policies/other/disallow-all-secrets,sources/policies/other-cel/disallow-all-secrets,Both,,Azeez,
disallow-localhost-services,other,sources/policies/other/disallow-localhost-services,sources/policies/other-cel/disallow-localhost-services,Both,,Azeez,
disallow-secrets-from-env-vars,other,sources/policies/other/disallow-secrets-from-env-vars,sources/policies/other-cel/disallow-secrets-from-env-vars,Both,,Azeez,
docker-socket-requires-label,other,sources/policies/other/docker-socket-requires-label,sources/policies/other-cel/docker-socket-requires-label,Both,,Azeez,
enforce-pod-duration,other,sources/policies/other/enforce-pod-duration,sources/policies/other-cel/enforce-pod-duration,Both,,Azeez,
enforce-readwriteonce-pod,other,sources/policies/other/enforce-readwriteonce-pod,sources/policies/other-cel/enforce-readwriteonce-pod,Both,,Azeez,
ensure-probes-different,other,sources/policies/other/ensure-probes-different,sources/policies/other-cel/ensure-probes-different,Both,,Azeez,
ensure-readonly-hostpath,other,sources/policies/other/ensure-readonly-hostpath,sources/policies/other-cel/ensure-readonly-hostpath,Both,,Azeez,
exclude-namespaces-dynamically,other,sources/policies/other/exclude-namespaces-dynamically,sources/policies/other-cel/exclude-namespaces-dynamically,Both,,Azeez,
forbid-cpu-limits,other,sources/policies/other/forbid-cpu-limits,sources/policies/other-cel/forbid-cpu-limits,Both,,Azeez,
imagepullpolicy-always,other,sources/policies/other/imagepullpolicy-always,sources/policies/other-cel/imagepullpolicy-always,Both,,Azeez,
ingress-host-match-tls,other,sources/policies/other/ingress-host-match-tls,sources/policies/other-cel/ingress-host-match-tls,Both,,Azeez,
limit-containers-per-pod,other,sources/policies/other/limit-containers-per-pod,sources/policies/other-cel/limit-containers-per-pod,Both,,Azeez,
limit-hostpath-type-pv,other,sources/policies/other/limit-hostpath-type-pv,sources/policies/other-cel/limit-hostpath-type-pv,Both,,Azeez,
limit-hostpath-vols,other,sources/policies/other/limit-hostpath-vols,sources/policies/other-cel/limit-hostpath-vols,Both,,Azeez,
memory-requests-equal-limits,other,sources/policies/other/memory-requests-equal-limits,sources/policies/other-cel/memory-requests-equal-limits,Both,,Azeez,
metadata-match-regex,other,sources/policies/other/metadata-match-regex,sources/policies/other-cel/metadata-match-regex,Both,,Azeez,
pdb-maxunavailable,other,sources/policies/other/pdb-maxunavailable,sources/policies/other-cel/pdb-maxunavailable,Both,,Azeez,
prevent-bare-pods,other,sources/policies/other/prevent-bare-pods,sources/policies/other-cel/prevent-bare-pods,Both,,Azeez,
prevent-cr8escape,other,sources/policies/other/prevent-cr8escape,sources/policies/other-cel/prevent-cr8escape,Both,,Azeez,
require-annotations,other,sources/policies/other/require-annotations,sources/policies/other-cel/require-annotations,Both,,Azeez,
require-container-port-names,other,sources/policies/other/require-container-port-names,sources/policies/other-cel/require-container-port-names,Both,,Azeez,
require-deployments-have-multiple-replicas,other,sources/policies/other/require-deployments-have-multiple-replicas,sources/policies/other-cel/require-deployments-have-multiple-replicas,Both,,Azeez,
require-emptydir-requests-limits,other,sources/policies/other/require-emptydir-requests-limits,sources/policies/other-cel/require-emptydir-requests-limits,Both,,Azeez,
require-image-checksum,other,sources/policies/other/require-image-checksum,sources/policies/other-cel/require-image-checksum,Both,,Azeez,
require-ingress-https,other,sources/policies/other/require-ingress-https,sources/policies/other-cel/require-ingress-https,Both,,Azeez,
require-non-root-groups,other,sources/policies/other/require-non-root-groups,sources/policies/other-cel/require-non-root-groups,Both,,Azeez,
require-pod-priorityclassname,other,sources/policies/other/require-pod-priorityclassname,sources/policies/other-cel/require-pod-priorityclassname,Both,,Azeez,
require-qos-burstable,other,sources/policies/other/require-qos-burstable,sources/policies/other-cel/require-qos-burstable,Both,,Azeez,
require-qos-guaranteed,other,sources/policies/other/require-qos-guaranteed,sources/policies/other-cel/require-qos-guaranteed,Both,,Azeez,
require-storageclass,other,sources/policies/other/require-storageclass,sources/policies/other-cel/require-storageclass,Both,,Azeez,
restrict-annotations,other,sources/policies/other/restrict-annotations,sources/policies/other-cel/restrict-annotations,Both,,Azeez,
restrict-binding-clusteradmin,other,sources/policies/other/restrict-binding-clusteradmin,sources/policies/other-cel/restrict-binding-clusteradmin,Both,,Azeez,
restrict-binding-system-groups,other,sources/policies/other/restrict-binding-system-groups,sources/policies/other-cel/restrict-binding-system-groups,Both,,Azeez,
restrict-clusterrole-nodesproxy,other,sources/policies/other/restrict-clusterrole-nodesproxy,sources/policies/other-cel/restrict-clusterrole-nodesproxy,Both,,Azeez,
restrict-controlplane-scheduling,other,sources/policies/other/restrict-controlplane-scheduling,sources/policies/other-cel/restrict-controlplane-scheduling,Both,,Azeez,
restrict-deprecated-registry,other,sources/policies/other/restrict-deprecated-registry,sources/policies/other-cel/restrict-deprecated-registry,Both,,Azeez,
restrict-edit-for-endpoints,other,sources/policies/other/restrict-edit-for-endpoints,sources/policies/other-cel/restrict-edit-for-endpoints,Both,,Azeez,
restrict-escalation-verbs-roles,other,sources/policies/other/restrict-escalation-verbs-roles,sources/policies/other-cel/restrict-escalation-verbs-roles,Both,,Azeez,
restrict-ingress-classes,other,sources/policies/other/restrict-ingress-classes,sources/policies/other-cel/restrict-ingress-classes,Both,,Azeez,
restrict-ingress-defaultbackend,other,sources/policies/other/restrict-ingress-defaultbackend,sources/policies/other-cel/restrict-ingress-defaultbackend,Both,,Azeez,
restrict-ingress-wildcard,other,sources/policies/other/restrict-ingress-wildcard,sources/policies/other-cel/restrict-ingress-wildcard,Both,,Azeez,
restrict-jobs,other,sources/policies/other/restrict-jobs,sources/policies/other-cel/restrict-jobs,Both,,Azeez,
restrict-loadbalancer,other,sources/policies/other/restrict-loadbalancer,sources/policies/other-cel/restrict-loadbalancer,Both,,Azeez,
restrict-networkpolicy-empty-podselector,other,sources/policies/other/restrict-networkpolicy-empty-podselector,sources/policies/other-cel/restrict-networkpolicy-empty-podselector,Both,,Azeez,
restrict-node-affinity,other,sources/policies/other/restrict-node-affinity,sources/policies/other-cel/restrict-node-affinity,Both,,Azeez,
restrict-node-label-creation,other,sources/policies/other/restrict-node-label-creation,sources/policies/other-cel/restrict-node-label-creation,Both,,Azeez,
